City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Polunochnoye,RU,2021-12-21 17:14:26,light snow,60.8697,60.4153,-7.44,98,100,6.6
145,Chuy,UY,2021-12-21 17:14:27,overcast clouds,-33.6971,-53.4616,68.76,83,100,3.42
146,Pandan,PH,2021-12-21 17:14:27,broken clouds,14.0453,124.1694,77.79,90,84,6.91
147,Ojinaga,MX,2021-12-21 17:14:28,clear sky,29.5667,-104.4167,58.57,43,1,0.0
148,Beyneu,KZ,2021-12-21 17:14:28,overcast clouds,45.3167,55.2,40.26,83,100,14.03
149,Tchaourou,BJ,2021-12-21 17:14:28,clear sky,8.8865,2.5975,90.86,18,8,5.01
150,Ribeira Grande,PT,2021-12-21 17:14:29,broken clouds,38.5167,-28.7,63.0,82,75,24.16
151,Ardesen,TR,2021-12-21 17:14:29,moderate rain,41.1911,40.9875,40.96,89,100,10.11
152,Cabedelo,BR,2021-12-21 17:13:48,overcast clouds,-6.9811,-34.8339,86.67,68,100,10.29
153,North Battleford,CA,2021-12-21 17:12:00,broken clouds,52.7834,-108.2847,10.4,91,76,5.21
154,Abong Mbang,CM,2021-12-21 17:11:19,broken clouds,3.9833,13.1833,81.34,35,68,3.31
155,Lasang,PH,2021-12-21 17:10:12,overcast clouds,7.2669,125.665,75.58,89,97,6.53
156,Scottsbluff,US,2021-12-21 17:14:30,clear sky,41.8666,-103.6672,55.83,49,1,5.01
157,Narsaq,GL,2021-12-21 17:14:30,overcast clouds,60.9167,-46.05,46.62,65,100,11.05
158,Taoudenni,ML,2021-12-21 17:14:31,overcast clouds,22.6783,-3.9836,77.45,19,100,6.6
159,Dudinka,RU,2021-12-21 17:14:31,broken clouds,69.4058,86.1778,-33.45,98,80,7.14
160,Pedernales,DO,2021-12-21 17:14:32,clear sky,18.0384,-71.744,82.22,62,8,6.8
161,Itanhem,BR,2021-12-21 17:14:32,overcast clouds,-17.1664,-40.33,79.88,75,98,3.02
162,Palm Beach,US,2021-12-21 17:11:56,light rain,26.6503,-80.4498,77.02,77,100,17.85
163,Bandarbeyla,SO,2021-12-21 17:08:46,overcast clouds,9.4942,50.8122,77.72,71,100,17.18
164,Qaanaaq,GL,2021-12-21 17:08:56,overcast clouds,77.484,-69.3632,35.38,73,99,10.45
165,Pochutla,MX,2021-12-21 17:14:33,clear sky,15.7432,-96.4661,87.62,50,0,4.88
166,Bambous Virieux,MU,2021-12-21 17:09:59,light rain,-20.3428,57.7575,79.05,78,75,12.66
167,Sao Joao Da Barra,BR,2021-12-21 17:14:33,few clouds,-21.6403,-41.0511,80.69,72,20,13.82
168,Hobart,AU,2021-12-21 17:05:32,overcast clouds,-42.8794,147.3294,55.26,55,97,3.0
169,Alofi,NU,2021-12-21 17:14:34,overcast clouds,-19.0595,-169.9187,79.36,71,91,18.12
170,Grand Gaube,MU,2021-12-21 17:14:34,moderate rain,-20.0064,57.6608,79.2,91,96,7.0
171,Petropavlovsk-Kamchatskiy,RU,2021-12-21 17:14:34,clear sky,53.0452,158.6483,10.4,75,9,12.1
172,Yangcun,CN,2021-12-21 17:14:35,few clouds,39.3639,117.0603,32.0,71,16,8.43
173,Matadi,CD,2021-12-21 17:14:35,overcast clouds,-5.8167,13.45,83.88,79,98,2.84
174,Alice Springs,AU,2021-12-21 17:14:35,overcast clouds,-23.7,133.8833,80.15,22,97,9.22
175,Port Hawkesbury,CA,2021-12-21 17:14:36,light rain,45.6169,-61.3485,38.91,83,90,13.0
176,Neryungri,RU,2021-12-21 17:14:36,overcast clouds,56.6709,124.6491,-38.15,100,97,1.99
177,Santiago Del Estero,AR,2021-12-21 17:14:36,broken clouds,-27.7951,-64.2615,102.15,28,70,10.49
178,Gushikawa,JP,2021-12-21 17:14:37,moderate rain,26.3544,127.8686,64.4,84,90,8.05
179,Chokurdakh,RU,2021-12-21 17:10:08,overcast clouds,70.6333,147.9167,-10.08,97,100,9.46
180,Flinders,AU,2021-12-21 17:14:37,broken clouds,-34.5833,150.8552,70.21,86,77,7.63
181,Kodiak,US,2021-12-21 17:14:38,few clouds,57.79,-152.4072,31.84,74,21,12.82
182,Bengkulu,ID,2021-12-21 17:14:38,overcast clouds,-3.8004,102.2655,78.15,84,100,5.99
183,Upernavik,GL,2021-12-21 17:14:38,scattered clouds,72.7868,-56.1549,23.77,75,34,6.35
184,Vila Velha,BR,2021-12-21 17:12:57,overcast clouds,-20.3297,-40.2925,73.35,94,90,5.75
185,Charters Towers,AU,2021-12-21 17:15:39,clear sky,-20.1,146.2667,72.64,86,5,7.72
186,Vilhena,BR,2021-12-21 17:15:03,overcast clouds,-12.7406,-60.1458,73.54,95,100,4.27
187,Madimba,TZ,2021-12-21 17:15:39,broken clouds,-10.4,40.3333,78.57,79,58,7.81
188,Olafsvik,IS,2021-12-21 17:15:39,overcast clouds,64.8945,-23.7142,36.41,73,100,13.91
189,Nemuro,JP,2021-12-21 17:15:40,scattered clouds,43.3236,145.575,33.78,75,27,10.94
190,Bredasdorp,ZA,2021-12-21 17:08:52,few clouds,-34.5322,20.0403,74.28,79,23,13.35
191,Kailua,US,2021-12-21 17:15:40,light rain,21.4022,-157.7394,73.38,73,75,13.8
192,Tres Arroyos,AR,2021-12-21 17:15:41,broken clouds,-38.3739,-60.2798,84.76,30,51,8.55
193,Adrar,MR,2021-12-21 17:15:41,overcast clouds,20.5022,-10.0711,77.97,16,100,10.09
194,Nyurba,RU,2021-12-21 17:15:42,broken clouds,63.2842,118.3319,-51.95,100,65,0.83
195,Sierra Vista,US,2021-12-21 17:15:42,scattered clouds,31.5545,-110.3037,63.01,30,40,0.0
196,Acarau,BR,2021-12-21 17:15:42,broken clouds,-2.8856,-40.12,87.49,58,61,16.75
197,Puerto Escondido,MX,2021-12-21 17:15:43,scattered clouds,15.85,-97.0667,85.03,70,40,4.61
198,Liverpool,GB,2021-12-21 17:12:08,broken clouds,53.4106,-2.9779,40.68,83,75,5.99
199,Dalby,AU,2021-12-21 17:15:43,clear sky,-27.1833,151.2667,71.04,64,7,1.99
200,Airai,TL,2021-12-21 17:07:04,overcast clouds,-8.9266,125.4092,60.66,93,95,0.43
201,Chapais,CA,2021-12-21 17:15:44,overcast clouds,49.7834,-74.8492,4.78,85,100,10.18
202,Vestmanna,FO,2021-12-21 17:15:44,broken clouds,62.1564,-7.1664,32.92,75,63,10.36
203,Owensboro,US,2021-12-21 17:15:45,haze,37.7742,-87.1133,45.63,87,1,3.44
204,Vao,NC,2021-12-21 17:15:45,overcast clouds,-22.6667,167.4833,76.03,82,99,12.62
205,Belmonte,BR,2021-12-21 17:15:46,light rain,-15.8631,-38.8828,79.3,68,93,5.93
206,Bulungu,CD,2021-12-21 17:15:46,light rain,-4.55,18.6,78.13,80,85,1.01
207,Tananger,NO,2021-12-21 17:15:46,broken clouds,58.9333,5.6,38.32,90,75,1.99
208,Aswan,EG,2021-12-21 17:15:47,few clouds,24.0934,32.907,56.14,29,11,11.36
